Model,Metric,Value,Alpha,Confidence Interval,p-value,ANOVA with bonferroni collection p-value
efficientNetB2,F1 Score,0.5873015873015872,90.0,0.05293785190394462,0.021846269590094742,0.2424619337408715
efficientNetB2,F1 Score,0.5873015873015872,95.0,0.06307934119520764,0.021846269590094742,0.2424619337408715
efficientNetB2,F1 Score,0.5873015873015872,97.5,0.07213714564435769,0.021846269590094742,0.2424619337408715
efficientNetB2,F1 Score,0.5873015873015872,99.0,0.08290030673053661,0.021846269590094742,0.2424619337408715
efficientNetB2,F1 Score,0.5873015873015872,99.5,0.09034137474795531,0.021846269590094742,0.2424619337408715
efficientNetB2,F1 Score,0.5873015873015872,99.9,0.10590207781621033,0.021846269590094742,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,80.0,0.040506572615884084,0.000540935982606621,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,85.0,0.04552097080730455,0.000540935982606621,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,90.0,0.05204916230185719,0.000540935982606621,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,95.0,0.06209635134600222,0.000540935982606621,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,97.5,0.07110360383142478,0.000540935982606621,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,99.0,0.0818547671023111,0.000540935982606621,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,99.5,0.08932201718461907,0.000540935982606621,0.2424619337408715
efficientNetB3,Accuracy,0.7777777777777778,99.9,0.10504170169833582,0.000540935982606621,0.2424619337408715
efficientNetB3,Sensitivity,0.8269230769230769,80.0,0.03169423660153392,0.000540935982606621,0.2424619337408715
efficientNetB3,Sensitivity,0.8269230769230769,85.0,0.035601260426761816,0.000540935982606621,0.2424619337408715
efficientNetB3,Sensitivity,0.8269230769230769,90.0,0.04067911228007226,0.000540935982606621,0.2424619337408715
efficientNetB3,Sensitivity,0.8269230769230769,95.0,0.04847215198094634,0.000540935982606621,0.2424619337408715
efficientNetB3,Sensitivity,0.8269230769230769,97.5,0.05543245412668674,0.000540935982606621,0.2424619337408715
efficientNetB3,Sensitivity,0.8269230769230769,99.0,0.06370320600962354,0.000540935982606621,0.2424619337408715
efficientNetB3,Sensitivity,0.8269230769230769,99.5,0.06942115697434093,0.000540935982606621,0.2424619337408715
